City,split,Naive_MAE,Naive_RMSE,Naive_sMAPE,SNaive_MAE,SNaive_RMSE,SNaive_sMAPE,n
Bengaluru,val,28.22047107871685,66.40615288378967,24.086771796185406,42.612518427341385,81.56525761677867,36.0120567844884,182
Bengaluru,test,23.471866514573428,30.79139385832398,28.427918865156887,38.006846143437244,48.83939740536709,43.87250537768864,183
Delhi,val,46.21117848189971,63.14246354449619,21.889198367435377,69.48931593355171,90.4381739329608,31.21421251353785,182
Delhi,test,29.66273836679886,41.429295363878516,17.235310582466585,58.44404080832851,79.49396076585431,29.285043101355473,183
Mumbai,val,12.045687543021856,17.11107864814535,13.651348360793877,23.594518483205405,30.68401962298596,25.973733429442863,182
Mumbai,test,11.177839327752698,16.185338287775778,15.703983148810172,23.189387453212074,30.274457261531264,33.11941201624926,183
