City,Best_Model_Test,MAE,RMSE,sMAPE,n
Bengaluru,Naive,23.471866514573428,30.79139385832398,28.427918865156887,183
Delhi,Naive,29.66273836679886,41.42929536387852,17.235310582466585,183
Mumbai,Naive,11.177839327752698,16.185338287775778,15.703983148810172,183
